	hitsIn	hitsOut
pfam1262	31	3
pfam1263	31	3
pfam1264	31	3
pfam1265	31	3
pfam1266	30	3
pfam1267	31	3
pfam1268	31	3
pfam1269	31	2
pfam1270	31	3
pfam1271	31	2
pfam1272	31	3
pfam1273	31	3
pfam1274	31	3
pfam1275	31	3
pfam1276	31	3
pfam1277	31	3
pfam1278	31	3
pfam1279	31	3
pfam1280	31	3
pfam1281	31	3
pfam1282	31	3
pfam1283	31	3
pfam1284	31	3
pfam1285	31	3
pfam1286	31	3
pfam1287	31	3
pfam1288	31	3
pfam1289	31	3
pfam1290	31	3
pfam1291	31	3
pfam1292	31	3
pfam1293	31	3
pfam1294	31	3
pfam1295	31	3
pfam1296	31	3
pfam1297	31	2
pfam1298	31	3
pfam1299	31	3
pfam1300	31	2
pfam1301	30	3
pfam1302	31	3
pfam1303	31	3
pfam1304	31	3
pfam1305	31	3
pfam1306	31	3
pfam1307	31	3
pfam1308	31	3
pfam1309	31	3
pfam1310	31	3
pfam1311	29	2
pfam1312	31	3
pfam1313	30	3
pfam1314	31	3
pfam1315	31	3
pfam1316	30	3
pfam1317	31	3
pfam1318	31	3
pfam1319	31	3
pfam1320	31	3
pfam1321	30	3
pfam1322	31	3
pfam1323	31	3
pfam1324	31	3
pfam1325	31	3
pfam1326	31	3
pfam1327	31	3
pfam1328	30	3
pfam1329	31	3
pfam1330	31	3
pfam1331	30	3
pfam1332	31	3
pfam1333	31	3
pfam1334	31	3
pfam1335	31	3
pfam1336	31	3
pfam1337	31	3
pfam1338	31	3
pfam1339	31	3
pfam1340	31	3
pfam1341	31	3
pfam1342	30	3
pfam1343	31	3
pfam1344	31	3
pfam1345	31	3
pfam1346	31	3
pfam1347	31	3
pfam1348	31	3
pfam1349	30	3
pfam1350	31	3
pfam1351	31	3
pfam1352	31	3
pfam1353	31	3
pfam1354	31	3
pfam1355	31	3
pfam1356	31	3
pfam1357	31	3
pfam1358	31	3
pfam1359	31	3
pfam1360	31	3
pfam1361	31	3
pfam1362	30	3
pfam1363	31	3
pfam1364	5	3
pfam1365	5	3
pfam1366	2	2
pfam1367	4	2
